,,sig_period_start,sig_period_end,mean_expr,mean_expr_ratio,p_mean_expr,p_mean_expr_ratio,q_mean_expr,q_mean_expr_ratio
ce9-In8,In8,5,17,6.8224306816232865,1.0166512609990912,0.0001,0.053100000000000036,0.00021481481481481484,0.07699500000000005
ce9-In8,Ex3,5,17,7.732948644223584,1.0175352533404465,0.0001,0.019000000000000017,0.00021481481481481484,0.029000000000000026
ni9-D2,GABAa,5,32,8.934199157010836,1.014612699053111,0.0001,0.0001,0.00021481481481481484,0.00021481481481481484
ni9-D2,D2,5,32,5.583017145090358,1.0762232418603694,0.05830000000000002,0.0010000000000000009,0.08247317073170735,0.0018709677419354858
ni9-D2,D1,5,32,5.468848446385408,1.046639988376961,0.07440000000000002,0.00770000000000004,0.10274285714285718,0.012760000000000066
ce3-Micro-OPC,Micro,5,23,6.05763046603434,1.0212420945873444,0.0001,0.0001,0.00021481481481481484,0.00021481481481481484
ce3-Micro-OPC,OPC,5,23,6.195746157275257,1.0201755150171716,0.0001,0.0001,0.00021481481481481484,0.00021481481481481484
ce3-Micro-OPC,Ex3,5,23,7.729706937334172,1.0186788662275272,0.0001,0.0033999999999999586,0.00021481481481481484,0.006162499999999925
ce3-Micro-OPC,In2,5,23,6.822184584044126,1.006138415448422,0.0001,0.08230000000000004,0.00021481481481481484,0.1060755555555556
ni4-GI-5HT1b-MU-A4B2,GI,13,32,9.327850110202917,1.0209325242637115,0.0001,0.0001,0.00021481481481481484,0.00021481481481481484
ni4-GI-5HT1b-MU-A4B2,5HT1b,13,32,6.9538431192303705,1.108634989283883,0.005600000000000049,0.0001,0.00984242424242433,0.00021481481481481484
ni4-GI-5HT1b-MU-A4B2,MU,13,32,4.4654765343109135,0.9612798198835693,0.35660000000000003,0.972,0.4220979591836735,0.972
ni4-GI-5HT1b-MU-A4B2,A4B2,13,32,8.692056481554891,1.0391459590292484,0.0001,0.0001,0.00021481481481481484,0.00021481481481481484
ni4-GI-5HT1b-MU-A4B2,5HT6,13,32,6.393600326295167,1.0581164947072126,0.012199999999999989,0.0004999999999999449,0.019655555555555537,0.0009666666666665601
ce5-In6-Ex2,In6,10,34,6.304858476009233,1.016822138509657,0.0001,0.00039999999999995595,0.00021481481481481484,0.0007999999999999119
ce5-In6-Ex2,Ex2,10,34,6.261898574512199,0.9994605637252879,0.0001,0.005900000000000016,0.00021481481481481484,0.01006470588235297
ce5-In6-Ex2,In4,10,34,7.088623260966841,1.0076440609274118,0.0001,0.0001,0.00021481481481481484,0.00021481481481481484
ni6-CBF-CMRglu,CMRglu,6,38,9.132276866458685,1.0141041015139551,0.0001,0.0001,0.00021481481481481484,0.00021481481481481484
ni3-FDOPA-DAT-D1-NMDA,FDOPA,32,41,5.0555606707863,0.9960817107968365,0.13229999999999997,0.23850000000000005,0.16681304347826084,0.28818750000000004
ni3-FDOPA-DAT-D1-NMDA,DAT,32,41,5.373798519524416,0.9875472119913102,0.07979999999999998,0.7006,0.1060755555555556,0.7814384615384615
ni3-FDOPA-DAT-D1-NMDA,D1,32,41,5.364862705320664,1.012139841057181,0.08130000000000004,0.015499999999999958,0.1060755555555556,0.02429729729729723
ni3-FDOPA-DAT-D1-NMDA,NET,32,41,4.384081342015518,0.9808008426864959,0.4054,0.8863,0.46149803921568633,0.9018491228070176
ni3-FDOPA-DAT-D1-NMDA,NMDA,32,41,7.900375149666924,1.0089973261881982,0.0001,0.00029999999999996696,0.00021481481481481484,0.000621428571428503
ni5-VAChT-NET,VAChT,27,57,3.8407392560123523,1.001504249809278,0.8515,0.16710000000000003,0.9018491228070176,0.20620851063829793
ni5-VAChT-NET,NET,27,57,4.40295263069016,0.9797912957579141,0.40580000000000005,0.8858,0.46149803921568633,0.9018491228070176
ni5-VAChT-NET,A4B2,27,57,8.495616012599353,1.0097725039882472,0.0001,0.025800000000000045,0.00021481481481481484,0.038369230769230836
ce4-In3-In2-Astro,In3,74,82,7.4436260261501115,1.0020759250297218,0.0001,0.8669,0.00021481481481481484,0.9018491228070176
ce4-In3-In2-Astro,In2,74,82,6.801523905042861,1.0018725505991315,0.0001,0.776,0.00021481481481481484,0.8492075471698113
ce4-In3-In2-Astro,Astro,74,82,7.9719684458614575,1.048520405737324,0.0001,0.0001,0.00021481481481481484,0.00021481481481481484
