,ce1-Ex7-In4-Ex5-Ex4-In1,ce2-Oligo-Endo,ce3-Micro-OPC,ce4-In3-In2-Astro,ce5-In6-Ex2,ce6-Ex8-Ex6,ce7-In7-Ex3,ce8-In5,ce9-In8,ce10-Ex1
Ex1,0.18579154432165354,-0.17696356779718894,0.14697368908282218,0.030687787865403774,-0.1039143917040364,-0.010362829585344763,0.18291968397030947,0.07297686333935051,-0.04823117885154902,0.8576656589975125
Ex2,0.09100039672055922,0.21210738121163406,-0.2934116850508382,-0.0071587437894233205,0.40600828429667646,0.25122011034849007,-0.30223287152654826,0.06283992276651607,0.2716518734962316,-0.10976618362631575
Ex3,-0.3007662064912998,-0.301273833538392,-0.366139897025929,0.013701541567591922,0.15732164466351348,-0.007005622728783391,0.4757638352683301,-0.09688411924773734,0.33516368143271025,-0.04054706702756311
Ex4,0.6629133659204699,-0.1892158107049501,-0.09998365690306417,0.18763398503600665,0.1273667330309889,0.03042008450557019,-0.09391240220198568,0.289825619753931,-0.04279757980760801,0.0760376079217791
Ex5,0.6677681966039859,-0.3483020896360147,-0.10795251152996685,0.03875596499957596,0.18561254563025725,0.32670938763367563,0.1061282801441065,0.08001709792410419,-0.06802521830799291,0.06114037224165752
Ex6,0.16496644459505136,0.003993622975626222,0.15010977802490114,0.17320628010130792,-0.15864014266002563,0.6540556949203081,0.17916217389968664,-0.208048253241789,-0.08219386195057869,-0.35193089367870156
Ex7,1.166693305684552,0.31801128742149304,-0.00459431331762575,0.047348134068650835,0.12337369498593939,-0.26547142673827817,0.13373441261823815,-0.2446706492326446,0.12662081396253955,0.07243677587508364
Ex8,-0.01851260851145363,0.1920032060865039,0.16782328468518531,-0.13119590743094117,0.07090566702199,0.8963622600711254,0.14472113863437902,-0.0030803494057413693,0.04423310080033488,0.10993278072503558
In1,0.5830077954734482,0.05991111702633388,0.1524447341982394,0.19391071733424406,0.0617991077924603,0.20959048786253173,-0.020661596985692313,0.008567993959720861,-0.07644839022226572,0.025748233879735835
In2,0.0023945141433478223,-0.0977132321394805,0.33340143311671777,0.7266650602851026,0.1033941642238362,-0.1331898477105023,-0.018473066501394658,0.051458735057063214,0.14270532768868172,-0.09810047207326694
In3,0.09908619922030883,0.03111480340918054,-0.2222069445599309,0.914053190814658,-0.19899893545633277,-0.037356630452421956,0.018039371471299966,0.1471169962377332,-0.17261228038922705,0.022306535607654797
In4,-0.6888835950884525,0.27589936186960445,-0.05950311033293324,0.275240981546842,0.35983130352460196,-0.024661952781887854,0.1439147804975785,-0.046674164074598117,-0.1522145021987843,0.07509513973129742
In5,0.06454185787733813,0.27571588709388095,0.06458368297861143,0.09767441410221282,-0.08603708568999723,-0.0820767822812283,0.1469629950871162,0.8534558016599634,0.1652993830791215,0.058354803197041165
In6,0.10034721077661869,-0.0639867280676155,0.2651355705381269,-0.14864853593117514,1.0786379933043109,-0.02506312007393728,0.01394906619566587,-0.07720143608482596,-0.23799056816543726,-0.041031010575602204
In7,-0.005193144239535754,0.17308977279220178,-0.09574810555296517,-0.046683710257133276,-0.06405176775672441,0.2209769603465335,0.8753716413306375,0.10751762835164275,0.02294624263921699,0.13986350966765979
In8,0.013088943747848263,-0.06943148895085499,0.2550503600272111,-0.03832449324992596,-0.19404277504260228,0.005193257092172399,0.04789396806994058,0.12454512415345725,0.7944167100003887,-0.027363493565513246
Astro,-0.007121198932108829,0.05433717484703202,-0.027960101866607374,0.4448675654190564,-0.2246841273284986,0.20309300904330388,-0.2743950671225612,-0.2991620708963161,0.06252766254479666,0.2338762547325318
Endo,-0.1291979607883814,0.9340246993861162,0.07560561189572058,0.044716772918611335,-0.013779239942130355,0.18911562478038949,0.09099957666144318,0.0701627277343292,-0.04443871924141583,0.006080693754557322
Micro,-0.055938874347291626,0.03243472730521348,1.0259533426621954,-0.049463811744478406,0.16260432027283453,0.08375143570804904,-0.05318943184219876,0.06478765450082315,0.15514305933285025,0.04824177542550094
OPC,0.005614079252761933,-0.004417322819873277,0.8989014536475126,0.01211903051917393,0.10653939767999823,0.19351903842061802,-0.09261194977064197,-0.002971458637881833,0.15112476676302938,0.10595169305725344
Oligo,0.05198825166093702,1.0027521341585282,-0.018670811677386656,-0.08563035323213196,-0.030611080418529942,0.0045772904154529,0.09161795819563692,0.22418896081999432,-0.04536254640957668,-0.16805022774091802
