,mr1-myelin
lh_G&S_frontomargin_thickness,-0.8541529
lh_G&S_occipital_inf_thickness,0.6715124
lh_G&S_paracentral_thickness,1.2882515
lh_G&S_subcentral_thickness,-0.015516044
lh_G&S_transv_frontopol_thickness,-0.76399153
lh_G&S_cingul-Ant_thickness,-1.1766316
lh_G&S_cingul-Mid-Ant_thickness,-0.8368468
lh_G&S_cingul-Mid-Post_thickness,-0.14177543
lh_G_cingul-Post-dorsal_thickness,1.1522021
lh_G_cingul-Post-ventral_thickness,2.5402234
lh_G_cuneus_thickness,1.5261229
lh_G_front_inf-Opercular_thickness,-0.49396858
lh_G_front_inf-Orbital_thickness,-0.6610956
lh_G_front_inf-Triangul_thickness,-0.19601935
lh_G_front_middle_thickness,-0.53672624
lh_G_front_sup_thickness,-0.5717215
lh_G_Ins_lg&S_cent_ins_thickness,-0.71683943
lh_G_insular_short_thickness,-1.5172323
lh_G_occipital_middle_thickness,0.36390555
lh_G_occipital_sup_thickness,1.0422599
lh_G_oc-temp_lat-fusifor_thickness,0.34711492
lh_G_oc-temp_med-Lingual_thickness,1.495793
lh_G_oc-temp_med-Parahip_thickness,0.34777325
lh_G_orbital_thickness,-0.74141353
lh_G_pariet_inf-Angular_thickness,-0.3823644
lh_G_pariet_inf-Supramar_thickness,-0.42104405
lh_G_parietal_sup_thickness,-0.059101224
lh_G_postcentral_thickness,1.0171906
lh_G_precentral_thickness,1.0443534
lh_G_precuneus_thickness,-0.08808291
lh_G_rectus_thickness,-0.87379956
lh_G_subcallosal_thickness,-1.3055874
lh_G_temp_sup-G_T_transv_thickness,2.497301
lh_G_temp_sup-Lateral_thickness,-0.18657033
lh_G_temp_sup-Plan_polar_thickness,-0.94653827
lh_G_temp_sup-Plan_tempo_thickness,0.08973883
lh_G_temporal_inf_thickness,-0.84683496
lh_G_temporal_middle_thickness,-0.6371781
lh_Lat_Fis-ant-Horizont_thickness,-0.16701749
lh_Lat_Fis-ant-Vertical_thickness,-0.20939383
lh_Lat_Fis-post_thickness,1.0814989
lh_Pole_occipital_thickness,1.4740065
lh_Pole_temporal_thickness,-1.8561212
lh_S_calcarine_thickness,1.2538146
lh_S_central_thickness,2.0117226
lh_S_cingul-Marginalis_thickness,-0.3272316
lh_S_circular_insula_ant_thickness,-0.8628708
lh_S_circular_insula_inf_thickness,-0.470677
lh_S_circular_insula_sup_thickness,-0.524636
lh_S_collat_transv_ant_thickness,-0.7290673
lh_S_collat_transv_post_thickness,1.0037346
lh_S_front_inf_thickness,-0.07567358
lh_S_front_middle_thickness,-0.7344664
lh_S_front_sup_thickness,-0.4872993
lh_S_interm_prim-Jensen_thickness,-0.53448033
lh_S_intrapariet&P_trans_thickness,0.3855009
lh_S_oc_middle&Lunatus_thickness,0.9672
lh_S_oc_sup&transversal_thickness,0.9183131
lh_S_occipital_ant_thickness,0.80395544
lh_S_oc-temp_lat_thickness,-0.16679922
lh_S_oc-temp_med&Lingual_thickness,-0.09871973
lh_S_orbital_lateral_thickness,-0.68093777
lh_S_orbital_med-olfact_thickness,-0.80418336
lh_S_orbital-H_Shaped_thickness,-0.44861966
lh_S_parieto_occipital_thickness,0.7965174
lh_S_pericallosal_thickness,-4.112609
lh_S_postcentral_thickness,0.21187375
lh_S_precentral-inf-part_thickness,-0.074398115
lh_S_precentral-sup-part_thickness,0.2812331
lh_S_suborbital_thickness,-0.9792955
lh_S_subparietal_thickness,0.017974066
lh_S_temporal_inf_thickness,-0.54660475
lh_S_temporal_sup_thickness,-0.11173041
lh_S_temporal_transverse_thickness,1.8586327
rh_G&S_frontomargin_thickness,-0.8890132
rh_G&S_occipital_inf_thickness,0.5679389
rh_G&S_paracentral_thickness,1.321235
rh_G&S_subcentral_thickness,-0.012021866
rh_G&S_transv_frontopol_thickness,-0.7683133
rh_G&S_cingul-Ant_thickness,-1.14772
rh_G&S_cingul-Mid-Ant_thickness,-0.8513127
rh_G&S_cingul-Mid-Post_thickness,-0.007616887
rh_G_cingul-Post-dorsal_thickness,0.8884828
rh_G_cingul-Post-ventral_thickness,2.0549133
rh_G_cuneus_thickness,1.3446773
rh_G_front_inf-Opercular_thickness,-0.69348735
rh_G_front_inf-Orbital_thickness,-0.63827044
rh_G_front_inf-Triangul_thickness,-0.2795728
rh_G_front_middle_thickness,-0.58352506
rh_G_front_sup_thickness,-0.50772786
rh_G_Ins_lg&S_cent_ins_thickness,-0.6555967
rh_G_insular_short_thickness,-1.3871799
rh_G_occipital_middle_thickness,0.39956528
rh_G_occipital_sup_thickness,0.97278666
rh_G_oc-temp_lat-fusifor_thickness,0.6080588
rh_G_oc-temp_med-Lingual_thickness,1.545803
rh_G_oc-temp_med-Parahip_thickness,0.1744766
rh_G_orbital_thickness,-0.7205063
rh_G_pariet_inf-Angular_thickness,-0.26614136
rh_G_pariet_inf-Supramar_thickness,-0.43262848
rh_G_parietal_sup_thickness,-0.03096897
rh_G_postcentral_thickness,0.92196244
rh_G_precentral_thickness,1.0229385
rh_G_precuneus_thickness,-0.16642316
rh_G_rectus_thickness,-0.67159134
rh_G_subcallosal_thickness,-0.5470028
rh_G_temp_sup-G_T_transv_thickness,2.4293907
rh_G_temp_sup-Lateral_thickness,-0.2883775
rh_G_temp_sup-Plan_polar_thickness,-1.2445602
rh_G_temp_sup-Plan_tempo_thickness,0.36954042
rh_G_temporal_inf_thickness,-0.81233764
rh_G_temporal_middle_thickness,-0.7620139
rh_Lat_Fis-ant-Horizont_thickness,-0.11845929
rh_Lat_Fis-ant-Vertical_thickness,-0.36236975
rh_Lat_Fis-post_thickness,1.1471441
rh_Pole_occipital_thickness,1.325703
rh_Pole_temporal_thickness,-1.6688495
rh_S_calcarine_thickness,1.318634
rh_S_central_thickness,2.0466502
rh_S_cingul-Marginalis_thickness,-0.13728455
rh_S_circular_insula_ant_thickness,-0.5973957
rh_S_circular_insula_inf_thickness,-0.6009907
rh_S_circular_insula_sup_thickness,-0.61258125
rh_S_collat_transv_ant_thickness,-0.74141
rh_S_collat_transv_post_thickness,1.0808599
rh_S_front_inf_thickness,-0.086966105
rh_S_front_middle_thickness,-0.7561643
rh_S_front_sup_thickness,-0.49642047
rh_S_interm_prim-Jensen_thickness,-0.29528785
rh_S_intrapariet&P_trans_thickness,0.33776498
rh_S_oc_middle&Lunatus_thickness,0.90909463
rh_S_oc_sup&transversal_thickness,0.997295
rh_S_occipital_ant_thickness,1.0947235
rh_S_oc-temp_lat_thickness,0.04235003
rh_S_oc-temp_med&Lingual_thickness,0.026831359
rh_S_orbital_lateral_thickness,-0.76782763
rh_S_orbital_med-olfact_thickness,-0.82370114
rh_S_orbital-H_Shaped_thickness,-0.4375384
rh_S_parieto_occipital_thickness,0.9811592
rh_S_pericallosal_thickness,-2.7941892
rh_S_postcentral_thickness,0.23246276
rh_S_precentral-inf-part_thickness,-0.08726942
rh_S_precentral-sup-part_thickness,0.24648505
rh_S_suborbital_thickness,-0.8430033
rh_S_subparietal_thickness,0.05392307
rh_S_temporal_inf_thickness,-0.69227237
rh_S_temporal_sup_thickness,0.039891135
rh_S_temporal_transverse_thickness,2.2653012
